Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,215.380005,230.490005,209.619995,213.880005,213.785156,244888200
2023-02-20,210.000000,238.880005,204.210007,232.860001,232.756729,263091000
2023-02-27,236.699997,239.000000,224.320007,238.899994,238.794037,217079100
2023-03-06,238.910004,244.539993,227.259995,229.649994,229.548126,244227900
2023-03-13,227.520004,263.989990,222.970001,257.250000,257.179596,285308600
2023-03-20,256.149994,275.890015,251.300003,267.790009,267.716705,279725900
2023-03-27,268.369995,278.339996,258.500000,277.769989,277.693939,190927300
2023-04-03,275.089996,280.000000,263.950012,270.369995,270.295959,167997700
2023-04-10,268.230011,277.899994,262.200012,267.579987,267.506744,190519100
2023-04-17,265.649994,281.100006,264.329987,271.190002,271.115784,205775900
2023-04-24,270.130005,277.579987,262.250000,277.489990,277.414032,179299400
2023-05-01,278.399994,290.579987,272.399994,286.799988,286.721497,203931000
2023-05-08,285.220001,292.200012,280.459991,283.399994,283.322418,162537400
2023-05-15,285.079987,318.279999,281.519989,312.640015,312.554413,239771500
2023-05-22,309.010010,394.799988,298.059998,389.459991,389.353394,370798000
2023-05-29,405.950012,419.380005,378.220001,393.269989,393.162323,304350900
2023-06-05,389.089996,397.109985,373.559998,387.700012,387.593903,214181300
2023-06-12,392.000000,437.209991,386.179993,426.920013,426.847321,296575100
2023-06-19,429.980011,439.899994,420.149994,422.089996,422.018127,177681600
2023-06-26,424.609985,427.640015,401.000000,423.019989,422.947937,252018400
2023-07-03,425.170013,432.140015,413.459991,425.029999,424.957642,118066200
2023-07-10,426.570007,480.880005,416.489990,454.690002,454.612579,238229700
2023-07-17,462.890015,478.959991,441.000000,443.089996,443.014557,300887700
2023-07-24,447.309998,473.950012,440.399994,467.500000,467.420380,188200400
2023-07-31,467.540009,471.299988,433.869995,446.799988,446.723907,170548900
2023-08-07,451.109985,455.399994,406.390015,408.549988,408.480408,228716000
2023-08-14,404.859985,452.679993,403.109985,432.989990,432.916260,292926600
2023-08-21,444.940002,502.660004,442.220001,460.179993,460.101624,431021100
2023-08-28,464.820007,499.269989,448.880005,485.089996,485.007416,311355600
2023-09-04,482.230011,488.510010,451.519989,455.720001,455.642395,175772200
2023-09-11,461.480011,461.630005,438.079987,439.000000,438.961395,209738700
2023-09-18,427.480011,442.420013,409.799988,416.100006,416.063416,216860900
2023-09-25,415.910004,441.440002,411.769989,434.989990,434.951752,208819200
2023-10-02,440.299988,457.890015,432.459991,457.619995,457.579773,209284900
2023-10-09,448.420013,476.089996,443.679993,454.609985,454.570007,211183400
2023-10-16,450.630005,462.250000,410.779999,413.869995,413.833618,279234000
2023-10-23,412.290009,436.970001,398.799988,405.000000,404.964386,223615700
2023-10-30,410.869995,453.089996,392.299988,450.049988,450.010406,217661700
2023-11-06,452.850006,484.720001,448.989990,483.350006,483.307526,205235800
2023-11-13,483.200012,499.600006,480.989990,492.980011,492.936676,194154800
2023-11-20,493.119995,505.480011,476.899994,477.760010,477.718018,217393200
2023-11-27,478.000000,487.619995,461.869995,467.649994,467.608887,207421400
2023-12-04,460.769989,477.410004,450.100006,475.059998,475.018219,189947700
2023-12-11,474.910004,494.040009,458.299988,488.899994,488.899994,220061700
2023-12-18,494.000000,504.329987,480.980011,488.299988,488.299988,182748900
2023-12-25,489.679993,499.970001,487.510010,495.220001,495.220001,111312500
2024-01-01,492.440002,495.470001,473.200012,490.970001,490.970001,145325300
2024-01-08,495.119995,553.460022,494.790009,547.099976,547.099976,289864400
2024-01-15,550.179993,595.000000,547.400024,594.909973,594.909973,195772700
2024-01-22,600.489990,628.489990,585.849976,610.309998,610.309998,218096600
2024-01-29,612.320007,666.000000,607.000000,661.599976,661.599976,205818900
2024-02-05,682.250000,721.849976,663.000000,721.330017,721.330017,270853900
